RoundNum,ElectorateName,ElectionID
1,Adelaide,20240501
2,Aston,20240503
3,Ballarat,20240505
4,Banks,20240507
1,Barker,20240509
2,Barton,20240511
3,Bass,20240513
4,Bean,20240515
1,Bendigo,20240517
2,Bennelong,20240519
3,Berowra,20240521
4,Blair,20240523
1,Blaxland,20240525
2,Bonner,20240527
3,Boothby,20240529
4,Bowman,20240601
1,Braddon,20240603
2,Bradfield,20240605
3,Brand,20240607
4,Brisbane,20240609
1,Bruce,20220501
2,Burt,20220503
3,Calare,20220505
4,Calwell,20220507
1,Canberra,20220509
2,Canning,20220511
3,Capricornia,20220513
4,Casey,20220515
1,Chifley,20220517
2,Chisholm,20220519
3,Clark,20220521
4,Cook,20220523
1,Cooper,20220525
2,Corangamite,20220527
3,Corio,20220529
4,Cowan,20220601
1,Cowper,20220603
2,Cunningham,20220605
3,Curtin,20220607
4,Dawson,20220609
1,Deakin,20190501
2,Dickson,20190503
3,Dobell,20190505
4,Dunkley,20190507
1,Durack,20190509
2,Eden-Monaro,20190511
3,Fadden,20190513
4,Fairfax,20190515
1,Farrer,20190518
2,Fenner,20190519
3,Fisher,20190521
4,Flinders,20190523
1,Flynn,20190525
2,Forde,20190527
3,Forrest,20190529
4,Fowler,20190601
1,Franklin,20190603
2,Fraser,20190605
3,Fremantle,20190607
4,Gellibrand,20190609
1,Gilmore,20160501
2,Gippsland,20160503
3,Goldstein,20160505
4,Gorton,20160507
1,Grayndler,20160509
2,Greenway,20160511
3,Grey,20160513
4,Griffith,20160515
1,Groom,20160517
2,Hasluck,20160519
3,Hawke,20160521
4,Herbert,20160523
1,Higgins,20160525
2,Hindmarsh,20160527
3,Hinkler,20160529
4,Holt,20160601
1,Hotham,20160603
2,Hughes,20160605
3,Hume,20160607
4,Hunter,20160609
1,Indi,20130501
2,Isaacs,20130503
3,Jagajaga,20130505
4,Kennedy,20130507
1,Kingsford Smith,20130509
2,Kingston,20130511
3,Kooyong,20130513
4,La Trobe,20130515
1,Lalor,20130517
2,Leichhardt,20130519
3,Lilley,20130521
4,Lindsay,20130523
1,Lingiari,20130525
2,Longman,20130527
3,Lyne,20130529
4,Lyons,20130601
1,Macarthur,20130603
2,Mackellar,20130605
3,Macnamara,20130607
4,Macquarie,20130609
1,Aston,20100501
2,Adelaide,20100503
3,Banks,20100505
4,Ballarat,20100507
1,Barton,20100509
2,Barker,20100511
3,Bean,20100513
4,Bass,20100515
1,Bennelong,20100517
2,Bendigo,20100519
3,Blair,20100521
4,Berowra,20100523
1,Bonner,20100525
2,Blaxland,20100527
3,Bowman,20100529
4,Boothby,20100601
1,Bradfield,20100603
2,Braddon,20100605
3,Brisbane,20100607
4,Brand,20100609
